Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,88.035,-89.475,0.0,top
D10,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,127.36,-81.925,0.0,top
D11,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,139.725,-89.45,0.0,top
D12,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,120.135,-89.475,0.0,top
D13,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,145.36,-97.925,0.0,top
D14,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,145.36,-111.45,0.0,top
D15,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,124.21,-119.0,0.0,top
D16,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,136.51,-119.0,0.0,top
D17,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,159.785,-81.625,0.0,top
D18,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,151.4,-89.475,0.0,top
D19,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,154.935,-119.05,0.0,top
D2,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,83.66,-98.3,0.0,top
D20,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,167.635,-119.05,0.0,top
D21,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,170.685,-89.2,0.0,top
D22,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,176.235,-97.35,0.0,top
D23,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,175.985,-111.325,0.0,top
D24,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,185.55,-119.0,0.0,top
D25,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,197.025,-119.175,0.0,top
D26,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,206.485,-111.55,0.0,top
D27,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,206.585,-97.825,0.0,top
D28,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,201.685,-89.45,0.0,top
D29,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,181.05,-89.075,0.0,top
D3,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,83.41,-109.325,0.0,top
D30,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,144.06,-85.05,0.0,top
D4,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,92.31,-119.0,0.0,top
D5,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,106.11,-119.1,0.0,top
D6,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,114.81,-109.85,0.0,top
D7,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,114.91,-97.875,0.0,top
D8,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,98.71,-84.675,0.0,top
D9,LED,LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,112.335,-89.275,0.0,top
J1,Conn_02x01,TerminalBlock_bornier-2_P5.08mm,85.55,-80.325,180.0,bottom
J2,Conn_02x20_Counter_Clockwise,PinHeader_2x20_P2.54mm_Vertical,189.48,-81.805,90.0,bottom
J3,Conn_02x01,TerminalBlock_bornier-2_P5.08mm,82.0,-119.6,0.0,bottom
KR1,~,Korry Switch,99.525,-102.085,0.0,top
KR2,~,Korry Switch,130.05,-102.035,0.0,top
KR3,~,Korry Switch,160.525,-102.035,0.0,top
KR4,~,Korry Switch,191.35,-102.06,0.0,top
R1,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,83.175,-103.975,0.0,top
R10,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,145.25,-105.1,0.0,top
R2,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,114.625,-103.975,0.0,top
R3,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,116.35,-84.475,0.0,top
R4,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,108.125,-84.4,0.0,top
R5,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,114.625,-117.9,0.0,top
R6,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,145.375,-118.025,0.0,top
R7,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,176.475,-118.4,0.0,top
R8,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,205.375,-118.65,0.0,top
R9,220R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,206.925,-104.85,0.0,top
